"Summary_name","Summary_url","Summary_Floor_No","Summary_No_Rooms","Summary_No_Bathrooms","Summary_Area_m2","Summary_Add_ID","Summary_Publishing_Date","Summary_Price_EGP","Summary_Seller_Type","Summary_Price_P_M"
"Apartments For sale in Second Neighborhood
الشطر الثاني, زهراء المعادي
100 M² 2 1
1,050,000 EGP","https://aqarmap.com.eg/en/listing/3126749-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","8","2","1","2024","SEMI_FINISHED","Main Street","100 M²","Apartments For sale in Second Neighborhood","02/01/2022"
"Apartments For sale in Investors Area
منطقة المستثمرين, العاصمة الإدارية الجديدة
173 M² 3 3
2,000,000 EGP","https://aqarmap.com.eg/en/listing/3102080-for-sale-cairo-new-administrative-capital-mntq-lmstthmryn","3","3","3","SEMI_FINISHED","Garden","173 M²","EG-3102080","16/12/2021","2,000,000 EGP"
"Direct from Owner
3 bed room flat for sale in Elmerag city in Elmaadi
Elmerag city, Elmaadi, Cairo, Egypt
230 M² 3 3
2,300,000 EGP","https://aqarmap.com.eg/en/listing/3132083-for-sale-cairo-el-maadi-mdyn-lm-rj-corniche-st","4","3","3","SUPER_LUX","230 M²","EG-3132083","05/01/2022","3 bed room flat for sale in Elmerag city in Elmaadi","Property Owner"
"Duplex for sale 83m with garden in Monte Napoleone - Mostakbal City
Mostakbal City
83 M² 1 1
1,490,110 EGP","https://aqarmap.com.eg/en/listing/2958379-projects-monte-napoleone1","Ground","1","1","2024","EXTRA_SUPER_LUX","Garden","83 M²","EG-2958379","1,490,110 EGP"
"Apartments For Sale in New Fustat City
الفسطاط الجديدة, الفسطاط
120 M² 2 2
1,128,000 EGP","https://aqarmap.com.eg/en/listing/3066847-for-sale-cairo-downtown-el-fostat-lfstt-ljdyd","7","2","2","2024","SEMI_FINISHED","Main Street","120 M²","Apartments For Sale in New Fustat City","22/11/2021"
"Apartment for sale in Fifth Settlement, immediate receipt, in installments over 7 years, in Galleria Compound
كمبوند جاليريا مون فالي - العربية القابضة, كمبوند بالتجمع الخامس
125 M² 2 1
2,206,000 EGP","https://aqarmap.com.eg/en/listing/3080960-for-sale-cairo-new-cairo-compounds-galleria-moon-valley","2","2","1","2021","WITHOUT_FINISH","Main Street","125 M²","Apartment for sale in Fifth Settlement, immediate receipt, in installments over 7 years, in Galleria Compound","02/12/2021"
"Apartments For Sale in Dejoya Compound - Taj Misr
كمبوند دي جويا - تاج مصر, كمبوند بالعاصمة الادارية الجديدة
154 M² 3 3
2,440,000 EGP","https://aqarmap.com.eg/en/listing/3067063-for-sale-cairo-new-administrative-capital-new-capital-compounds-dy-jwy","5","3","3","2021","SUPER_LUX","Seaview","154 M²","Apartments For Sale in Dejoya Compound - Taj Misr","22/11/2021"
"Apartments 165 M² For sale in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
165 M² 3 2
1,320,000 EGP","https://aqarmap.com.eg/en/listing/3089008-for-sale-cairo-new-cairo-new-el-andalous","1","3","2","2021","SEMI_FINISHED","Side Street","165 M²","Apartments 165 M² For sale in New El Andalous","08/12/2021"
"Apartment 138 m for sale in Kattameya Gate, the best place in Egypt
Kattameya
138 M² 4 2
1,945,800 EGP","https://aqarmap.com.eg/en/listing/1067133-projects-kattameya-gate","2","4","2","2020","SEMI_FINISHED","Main Street","138 M²","EG-1067133","1,945,800 EGP"
"Apartment 107 m for sale in Kattameya Gate apartment for 7.5 years
Kattameya
107 M² 2 2
1,433,800 EGP","https://aqarmap.com.eg/en/listing/1067142-projects-kattameya-gate","2","2","2","2020","SEMI_FINISHED","Main Street","107 M²","EG-1067142","1,433,800 EGP"
"for sale in the Fifth Settlement in The Median, with a down payment of only 5% and installments over 10 years
ذا مديان ريزيدنس - ازان للتطوير العقاري, كمبوند بالتجمع الخامس
75 M² 1 1
1,300,000 EGP","https://aqarmap.com.eg/en/listing/3083490-for-sale-cairo-new-cairo-compounds-dh-mdyn-ryzydns-zn-llttwyr-l-qry","4","1","1","2021","WITHOUT_FINISH","Garden","75 M²","for sale in the Fifth Settlement in The Median, with a down payment of only 5% and installments over 10 years","04/12/2021"
"Direct from Owner
43 المدينة المنورة ناصية زمزم
Gameat El Dewal El Arbabeya St, El Mohandeseen
450 M² 6 6
8,600,000 EGP","https://aqarmap.com.eg/en/listing/3111313-for-sale-cairo-dokki-manteqt-nadi-el-syd","2","6","6","2015","SUPER_LUX","Corner","450 M²","EG-3111313","22/12/2021"
"Duplex For Sale in Fourth Neighborhood
الحي الرابع, بيت الوطن
268 M² 3 1
2,307,815 EGP","https://aqarmap.com.eg/en/listing/3066783-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood","2","3","1","2023","SEMI_FINISHED","Main Street","268 M²","Duplex For Sale in Fourth Neighborhood","22/11/2021"
"Apartments For Sale in Fourth Neighborhood
الحي الرابع, بيت الوطن
173 M² 2 1
1,159,100 EGP","https://aqarmap.com.eg/en/listing/3066780-for-sale-cairo-new-cairo-bait-el-watan-fourth-neighborhood","3","2","1","2023","SEMI_FINISHED","Main Street","173 M²","Apartments For Sale in Fourth Neighborhood","22/11/2021"
"Apartments For sale in Second Neighborhood
الشطر الثاني, زهراء المعادي
130 M² 3 2
1,527,500 EGP","https://aqarmap.com.eg/en/listing/3106788-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","8","3","2","2024","SEMI_FINISHED","Main Street","130 M²","Apartments For sale in Second Neighborhood","19/12/2021"
"Apartment for sale 240, down payment 117000 EGP, installments over 60 months
الحي الأول, بيت الوطن
240 M² 3 3
1,560,000 EGP","https://aqarmap.com.eg/en/listing/3106720-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","2","3","3","2023","SEMI_FINISHED","Side Street","240 M²","Apartment for sale 240, down payment 117000 EGP, installments over 60 months","19/12/2021"
"Apartments For sale in District 5 Compound - Marakez
كمبوند ديستريكت 5 - مراكز للتطوير, كمبوند بالتجمع الخامس
154 M² 3 2
3,500,000 EGP","https://aqarmap.com.eg/en/listing/3111659-for-sale-cairo-new-cairo-compounds-district-5","3","3","2","2020","SEMI_FINISHED","Garden","154 M²","Apartments For sale in District 5 Compound - Marakez","22/12/2021"
"Apartments For sale in Second Neighborhood
الشطر الثاني, زهراء المعادي
132 M² 3 2
1,419,000 EGP","https://aqarmap.com.eg/en/listing/3075697-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","5","3","2","2024","SEMI_FINISHED","Main Street","132 M²","Apartments For sale in Second Neighborhood","28/11/2021"
"Direct from Owner
شقة تشطيب سوبر لوكس فى النرجس ١
El Narges 1, El Narges
200 M²
2,800,000 EGP","https://aqarmap.com.eg/en/listing/3128718-for-sale-cairo-new-cairo-el-narges-el-narges-1","extra_super_lux","Side Street","200 M²","EG-3128718","03/01/2022","2,800,000 EGP","Property Owner","شقة تشطيب سوبر لوكس فى النرجس ١","Commercial Financing"
"For Sale - Apartments 176 M² Semi Finished in New Fustat City
الفسطاط الجديدة, الفسطاط
176 M² 3 3
1,980,000 EGP","https://aqarmap.com.eg/en/listing/3025225-for-sale-cairo-downtown-el-fostat-lfstt-ljdyd","4","3","3","2024","SEMI_FINISHED","Main Street","176 M²","For Sale - Apartments 176 M² Semi Finished in New Fustat City","28/10/2021"
"Apartments 140 M² Super lux in Toman Bai St
Toman Bai St, El Zaytoun El Sharkeya
140 M² 2 2
1,250,000 EGP","https://aqarmap.com.eg/en/listing/3002683-for-sale-cairo-el-zaytun-lzytwn-lshrqy-toman-bai-st","9","2","2","1985","SUPER_LUX","Main Street","140 M²","Apartments 140 M² Super lux in Toman Bai St","10/10/2021"
"Apartments Semi Finished For Sale in Second Neighborhood
Second Neighborhood, Zahraa El Maadi
100 M² 2 1
1,050,000 EGP","https://aqarmap.com.eg/en/listing/3010409-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","6","2","1","2024","SEMI_FINISHED","Main Street","100 M²","Apartments Semi Finished For Sale in Second Neighborhood","17/10/2021"
"Apartments For Sale 185m in International Garden in Nasr City
الحديقة الدولية, مدينة نصر
185 M² 3 2
1,600,000 EGP","https://aqarmap.com.eg/en/listing/3050774-for-sale-cairo-nasr-city-el-hadeqa-el-dawleya","6","3","2","2000","SUPER_LUX","Main Street","185 M²","EG-3050774","10/11/2021"
"For Sale - Apartments 140 M² Semi Finished in First Neighborhood
الحي الأول, بيت الوطن
140 M² 3 1
875,000 EGP","https://aqarmap.com.eg/en/listing/3028544-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","1","3","1","2023","SEMI_FINISHED","Main Street","140 M²","For Sale - Apartments 140 M² Semi Finished in First Neighborhood","30/10/2021"
"Duplex 166 M² For Sale in Atika Compound - New Plan
Atika Compound - New Plan, R7
166 M² 3 2
2,324,000 EGP","https://aqarmap.com.eg/en/listing/2953270-for-sale-cairo-new-administrative-capital-r7-atika","2","3","2","2021","SUPER_LUX","166 M²","EG-2953270","Duplex 166 M² For Sale in Atika Compound - New Plan","2,324,000 EGP"
"Apartments 125 M² Semi Finished in Maadi View Compound - Maadi Group
Maadi View Compound - Maadi Group, Compounds in Elshorouk City
125 M² 2 2
1,682,750 EGP","https://aqarmap.com.eg/en/listing/2914088-for-sale-mdyn-lshrwq-compounds-maadi-view","2","2","2","2021","SEMI_FINISHED","Garden","125 M²","Apartments 125 M² Semi Finished in Maadi View Compound - Maadi Group","31/07/2021"
"شقق للبيع بسعر مميز في بيت الوطن
التجمع الخامس بيت الوطن الحي التاني
172 M² 3 2
1,190,000 EGP","https://aqarmap.com.eg/en/listing/3061280-for-sale-cairo-new-cairo-bait-el-watan-second-neighborhood","1","3","2","2024","SEMI_FINISHED","Main Street","172 M²","شقق للبيع بسعر مميز في بيت الوطن","17/11/2021"
"Apartments in Castle Landmark Compound - Castle Landmark 150 M² Semi Finished For Sale
Castle Landmark Compound - Castle Landmark, R7
150 M² 3 2
1,639,800 EGP","https://aqarmap.com.eg/en/listing/2930495-for-sale-cairo-new-administrative-capital-r7-castle-landmark","4","3","2","2021","SEMI_FINISHED","Garden","150 M²","Apartments in Castle Landmark Compound - Castle Landmark 150 M² Semi Finished For Sale","14/08/2021"
"Direct from Owner
198m Super Lux apt. in 3rd District for sale
Dr Ali Lotfi St.، Third Neighborhood
198 M² 3 2
1,600,000 EGP","https://aqarmap.com.eg/en/listing/2672875-for-sale-cairo-el-sheikh-zayed-city-el-hay-elthaleth-dr-ali-lotfi-st","3","3","2","2011","SUPER_LUX","Side Street","198 M²","198m Super Lux apt. in 3rd District for sale","28/08/2021"
"Direct from Owner
GREAT Opportunity | Apartment for Sale at Palm Springs -144 meters
Palm Springs Residential Community - Alex Desert Road
144 M² 2 2
1,700,000 EGP","https://aqarmap.com.eg/en/listing/3000957-for-sale-cairo-alex-cairo-desert-road-jrn-ryzydns","2","2","2","2020","WITHOUT_FINISH","144 M²","EG-3000957","09/10/2021","1,700,000 EGP"
"Direct from Owner
سوبر لوكس 170 م بكمباوند البارون سيتى المعادى
كمباوند البارون سيتى المعادى
170 M² 3 2
1,675,000 EGP","https://aqarmap.com.eg/en/listing/2948011-for-sale-cairo-maadi-ring-road-medium-plateau-compound-el-baron-city","5","3","2","SUPER_LUX","Main Street","170 M²","EG-2948011","سوبر لوكس 170 م بكمباوند البارون سيتى المعادى","1,675,000 EGP"
"Direct from Owner
Apartments For Sale in El Nasr St
El Nasr St, New Maadi
180 M² 3 2
2,500,000 EGP","https://aqarmap.com.eg/en/listing/2997860-for-sale-cairo-el-maadi-el-maadi-el-gededa-el-nasr-st","8","3","2","2006","SUPER_LUX","Main Street","180 M²","Apartments For Sale in El Nasr St","10/10/2021"
"Apartments For Sale in Castle Landmark Compound - Castle Landmark
كمبوند كاسيل لاندمارك - كاسيل, R7
200 M² 3 3
1,639,400 EGP","https://aqarmap.com.eg/en/listing/3028424-for-sale-cairo-new-administrative-capital-r7-castle-landmark","2","3","3","2021","SEMI_FINISHED","Garden","200 M²","Apartments For Sale in Castle Landmark Compound - Castle Landmark","30/10/2021"
"Apartments Semi Finished For Sale in Southern Investors
Southern Investors, New Cairo - Fifth Settlement - Tagamoa
155 M² 3 2
2,170,000 EGP","https://aqarmap.com.eg/en/listing/2943994-for-sale-cairo-new-cairo-south-investors","2","3","2","2015","SEMI_FINISHED","155 M²","EG-2943994","24/08/2021","2,170,000 EGP"
"Apartments For Sale in Fifth Neighborhood
Fifth Neighborhood, Bait El Watan
185 M² 2 2
1,116,000 EGP","https://aqarmap.com.eg/en/listing/2929556-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood","3","2","2","2023","SEMI_FINISHED","Main Street","185 M²","Apartments For Sale in Fifth Neighborhood","14/08/2021"
"Apartments in Bait El Watan 275 M² Semi Finished For Sale
Bait El Watan, 6th of October
275 M² 4 3
2,300,000 EGP","https://aqarmap.com.eg/en/listing/2892401-for-sale-cairo-6th-of-october-bait-el-watan","2","4","3","2022","SEMI_FINISHED","Corner","275 M²","EG-2892401","11/07/2021"
"Apartments For Sale in Second Neighborhood
Second Neighborhood, Zahraa El Maadi
100 M² 2 1
1,050,000 EGP","https://aqarmap.com.eg/en/listing/2972910-for-sale-cairo-el-maadi-zahraa-el-maadi-second-neighborhood","4","2","1","2023","SEMI_FINISHED","Main Street","100 M²","Apartments For Sale in Second Neighborhood","16/09/2021"
"Apartments For Sale in Neighborhood 9th
الحي التاسع, الأحياء
155 M² 3 3
1,069,500 EGP","https://aqarmap.com.eg/en/listing/2893146-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-9th","Ground","3","3","2022","SEMI_FINISHED","Main Street","155 M²","Apartments For Sale in Neighborhood 9th","12/07/2021"
"Apartments For Sale in Fifth Neighborhood
Fifth Neighborhood, Bait El Watan
330 M² 3 2
2,125,000 EGP","https://aqarmap.com.eg/en/listing/2929558-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood","2","3","2","2023","SEMI_FINISHED","Main Street","330 M²","Apartments For Sale in Fifth Neighborhood","14/08/2021"
"Apartments Semi Finished For Sale in Fifth Neighborhood
Fifth Neighborhood, Bait El Watan
177 M² 2 1
1,233,000 EGP","https://aqarmap.com.eg/en/listing/2929559-for-sale-cairo-new-cairo-bait-el-watan-fifth-neighborhood","2","2","1","2023","SEMI_FINISHED","Main Street","177 M²","Apartments Semi Finished For Sale in Fifth Neighborhood","14/08/2021"
"Apartments Extra super lux For Sale in Galal Al Din AL Desouky St.
Galal Al Din AL Desouky St., Almaza
400 M² 5 5
5,500,000 EGP","https://aqarmap.com.eg/en/listing/2905443-for-sale-cairo-heliopolis-almazah-galal-al-din-al-desouky-st","2","5","5","2018","EXTRA_SUPER_LUX","Side Street","400 M²","Apartments Extra super lux For Sale in Galal Al Din AL Desouky St.","28/07/2021"
"Direct from Owner
Directly from the owner a luxurious Apartments For Sale in Manial
جوار قصر المانسترلى ترى النيل
200 M² 3 3
3,650,000 EGP","https://aqarmap.com.eg/en/listing/2921961-for-sale-cairo-manial","3","3","3","2009","EXTRA_SUPER_LUX","Nile","200 M²","EG-2921961","06/08/2021"
"Direct from Owner
Apartments For Sale in Tag City Compound - MNHD
كمبوند تاج سيتى - مدينة نصر للاسكان و التعمير, كمبوند بالتجمع الخامس
149 M² 3 3
2,100,000 EGP","https://aqarmap.com.eg/en/listing/3054391-for-sale-cairo-new-cairo-compounds-tag-city","3","3","3","2020","SEMI_FINISHED","Main Street","149 M²","Apartments For Sale in Tag City Compound - MNHD","13/11/2021"
"Direct from Owner
شقة للبيع فى بيل في ـ Belle Vie الشيخ زايد الجديدة كمبوند شركة إعمار
كمبوند بيل فى الشيخ زايدالجديدة
112 M² 2 2
3,359,000 EGP","https://aqarmap.com.eg/en/listing/2929807-for-sale-cairo-el-sheikh-zayed-city-lshykh-zyd-ljdyd-kmbwnd-byl-fy-mr-msr-llttwyr","1","2","2","2025","SUPER_LUX","Back","112 M²","شقة للبيع فى بيل في ـ Belle Vie الشيخ زايد الجديدة كمبوند شركة إعمار","17/08/2021"
"Apartments Semi Finished For sale in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
165 M² 3 2
1,400,000 EGP","https://aqarmap.com.eg/en/listing/2900610-for-sale-cairo-new-cairo-new-el-andalous","4","3","2","2021","SEMI_FINISHED","Side Street","165 M²","Apartments Semi Finished For sale in New El Andalous","23/07/2021"
"Apartments Semi Finished For sale in El Maadi Ring Road
دائري المعادي, المعادي
279 M² 4 2
3,500,000 EGP","https://aqarmap.com.eg/en/listing/3130520-for-sale-cairo-el-maadi-daeaary-el-maadi","Ground","4","2","2014","SEMI_FINISHED","Side Street","279 M²","EG-3130520","04/01/2022"
"Duplex Villa in NewHeliopolis
الحي السادس, هليوبوليس الجديدة
230 M² 3 3
1,035,000 EGP","https://aqarmap.com.eg/en/listing/3039047-for-sale-cairo-new-heliopolis-lhy-lsds","1","3","3","2021","SEMI_FINISHED","Main Street","230 M²","EG-3039047","04/11/2021"
"For Sale - Apartments 83 M² Semi Finished
Al Moshir Tantawy Axis, Nasr City
83 M² 2 2
480,000 EGP","https://aqarmap.com.eg/en/listing/2907059-for-sale-cairo-nasr-city-mhwr-lmshyr-tntwy","4","2","2","2021","SEMI_FINISHED","Side Street","83 M²","EG-2907059","29/07/2021"
"For sale - Apartments 2060 M² Semi Finished in Bait El Watan Ninth Neighborhood
بيت الوطن الحي التاسع, 6 أكتوبر
206 M² 4 3
1,586,000 EGP","https://aqarmap.com.eg/en/listing/3132405-for-sale-cairo-6th-of-october-byt-lwtn-lhy-lts","1","4","3","2024","SEMI_FINISHED","Side Street","206 M²","EG-3132405","05/01/2022"
"Apartments 152 M² For sale in New Narges
النرجس الجديدة, القاهرة الجديدة - التجمع الخامس
152 M² 3 2
1,367,000 EGP","https://aqarmap.com.eg/en/listing/3120183-for-sale-cairo-new-cairo-compounds-park-line","2","3","2","2022","SEMI_FINISHED","Main Street","152 M²","Apartments 152 M² For sale in New Narges","28/12/2021"
"شقه لبيع بقدم 100الف والباقي اقساط ع 5سنين
El Haram Street, El Haram
120 M² 3 2
396,000 EGP","https://aqarmap.com.eg/en/listing/2891920-for-sale-cairo-el-haram-shareaa-el-haram","6","3","2","2018","extra_super_lux","Side Street","120 M²","EG-2891920","10/07/2021"
"Apartment 170 m, with a down payment of 89250 EGP
الحي الأول, بيت الوطن
170 M² 3 3
1,190,000 EGP","https://aqarmap.com.eg/en/listing/3132488-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","3","3","3","2023","SEMI_FINISHED","Main Street","170 M²","Apartment 170 m, with a down payment of 89250 EGP","05/01/2022"
"Apartment140m first floor down payment68250EPG
الحي الأول, بيت الوطن
140 M² 3 1
910,000 EGP","https://aqarmap.com.eg/en/listing/3132447-for-sale-cairo-new-cairo-bait-el-watan-first-neighborhood","1","3","1","2023","SEMI_FINISHED","Main Street","140 M²","Apartment140m first floor down payment68250EPG","05/01/2022"
"Apartments in El Batal Ahmed Abdel Aziz 230 M² Super lux For sale
البطل أحمد عبد العزيز, الدقي
230 M² 3 4
3,400,000 EGP","https://aqarmap.com.eg/en/listing/3099964-for-sale-cairo-dokki-el-batal-ahmed-abd-el-aziz","4","3","4","2016","SUPER_LUX","Main Street","230 M²","EG-3099964","14/12/2021"
"Apartments 200 M² For Sale in Msadak
مصدق, الدقي
200 M² 3 3
3,700,000 EGP","https://aqarmap.com.eg/en/listing/2917225-for-sale-cairo-dokki-manteqt-nadi-el-syd","9","3","3","2018","SUPER_LUX","Main Street","200 M²","EG-2917225","01/08/2021"
"Apartments For sale in Compounds In El Sheikh Zayed
كمبوند بالشيخ زايد, كمبوند بالشيخ زايد
200 M² 4 3
1,700,000 EGP","https://aqarmap.com.eg/en/listing/3134195-for-sale-cairo-el-sheikh-zayed-city-compounds-in-sheikh-zayed-compounds-in-el-sheikh-zayed","1","4","3","2020","SEMI_FINISHED","Main Street","200 M²","Apartments For sale in Compounds In El Sheikh Zayed","06/01/2022"
"Apartments For sale in Compounds In El Sheikh Zayed
كمبوند بالشيخ زايد, كمبوند بالشيخ زايد
210 M² 4 3
1,785,000 EGP","https://aqarmap.com.eg/en/listing/3134132-for-sale-cairo-el-sheikh-zayed-city-compounds-in-sheikh-zayed-compounds-in-el-sheikh-zayed","1","4","3","2020","SEMI_FINISHED","Main Street","210 M²","Apartments For sale in Compounds In El Sheikh Zayed","06/01/2022"
"Apartments For sale in Sudan St
شارع السودان, المهندسين
117 M² 3 2
754,000 EGP","https://aqarmap.com.eg/en/listing/3125154-for-sale-cairo-el-mohandesen-shareaa-el-sudan","10","3","2","2020","SEMI_FINISHED","Main Street","117 M²","EG-3125154","31/12/2021"
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
220 M² 4 3
1,969,000 EGP","https://aqarmap.com.eg/en/listing/3122685-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis","3","4","3","2022","SEMI_FINISHED","Main Street","220 M²","EG-3122685","29/12/2021"
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
178 M² 3 3
1,290,500 EGP","https://aqarmap.com.eg/en/listing/3111850-for-sale-cairo-hlywbwlys-ljdyd-new-heliopolis","3","3","3","2022","SEMI_FINISHED","Main Street","178 M²","EG-3111850","22/12/2021"
"Apartments For sale in New Heliopolis
هليوبوليس الجديدة, هليوبوليس الجديدة
145 M² 3 3
1,207,000 EGP","https://aqarmap.com.eg/en/listing/3127813-for-sale-cairo-hlywbwlys-ljdyd-compounds-in-new-heliopolis","Ground","3","3","2022","SEMI_FINISHED","Main Street","145 M²","EG-3127813","02/01/2022"
"Apartments in Compounds in 6 October 185 M² Semi Finished For sale
كمبوند أكتوبر بلازا - سوديك, كمبوند في ٦ اكتوبر
185 M² 3 3
1,221,000 EGP","https://aqarmap.com.eg/en/listing/3125808-for-sale-cairo-6th-of-october-compound-october-plaza","1","3","3","2021","SEMI_FINISHED","185 M²","EG-3125808","Apartments in Compounds in 6 October 185 M² Semi Finished For sale","1,221,000 EGP"
"Apartments For sale in Neighborhood 9th
الحي التاسع, الأحياء
210 M² 4 3
1,000,000 EGP","https://aqarmap.com.eg/en/listing/3113446-for-sale-cairo-6th-of-october-el-ahyaa-neighborhood-9th","1","4","3","2021","SEMI_FINISHED","Garden","210 M²","Apartments For sale in Neighborhood 9th","23/12/2021"
"The apartment is on you and your comfort is on us without a down payment and installments up to 10 years
المستقبل سيتي, القاهرة الجديدة - التجمع الخامس
150 M² 3 2
2,500,000 EGP","https://aqarmap.com.eg/en/listing/3106020-for-sale-cairo-new-cairo-lmstqbl-syty","3","3","2","2016","WITHOUT_FINISH","150 M²","EG-3106020","19/12/2021","2,500,000 EGP"
"Apartments For sale in New El Andalous
الأندلس الجديدة, القاهرة الجديدة - التجمع الخامس
135 M² 3 3
1,890,000 EGP","https://aqarmap.com.eg/en/listing/3122226-for-sale-cairo-new-cairo-new-el-andalous","1","3","3","2024","SUPER_LUX","Main Street","135 M²","Apartments For sale in New El Andalous","29/12/2021"
"Furnished Apartment For sale in Downtown
الداون تاون, العاصمة الإدارية الجديدة
62 M² 1 1
2,209,000 EGP","https://aqarmap.com.eg/en/listing/3128811-for-sale-cairo-new-administrative-capital-new-capital-commercial-projects","6","1","1","2024","EXTRA_SUPER_LUX","Main Street","62 M²","EG-3128811","03/01/2022"
"Apartment for sale 157 m (3 rooms + garage) along Al-Thawra Street with a 31% discount and installments up to 15 years
تاج سلطان, كمبوند بالتجمع الخامس
157 M² 3 2
2,906,000 EGP","https://aqarmap.com.eg/en/listing/3095033-for-sale-cairo-new-cairo-compounds-taj-sultan","3","3","2","2022","SEMI_FINISHED","Garden","157 M²","Apartment for sale 157 m (3 rooms + garage) along Al-Thawra Street with a 31% discount and installments up to 15 years","12/12/2021"
